,Brand,Model,AccelSec,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,Brand and Model,TopSpeed_mph,Range_Mi,PriceUS
78,Ford ,Mustang Mach-E SR AWD,6.0,206,360,Yes,AWD,Type 2 CCS,SUV,D,5,Ford Mustang Mach-E SR AWD,112.0,211.0,64800.0
79,Porsche ,Taycan Turbo,3.2,215,810,Yes,AWD,Type 2 CCS,Sedan,F,4,Porsche Taycan Turbo,162.0,242.0,177961.0
80,Volkswagen ,ID.3 1st,7.3,171,470,Yes,RWD,Type 2 CCS,Hatchback,C,5,Volkswagen ID.3 1st,99.0,211.0,46784.0
81,Tesla ,Model X Performance,2.8,216,480,Yes,AWD,Type 2,SUV,F,7,Tesla Model X Performance,155.0,273.0,123588.0
82,Smart ,EQ fortwo coupe,11.6,167,-,No,RWD,Type 2,Hatchback,A,2,Smart EQ fortwo coupe,81.0,62.0,25664.0
83,Ford ,Mustang Mach-E SR RWD,6.6,194,380,Yes,RWD,Type 2 CCS,SUV,D,5,Ford Mustang Mach-E SR RWD,112.0,224.0,56280.0
84,Mercedes ,EQV 300 Long,10.0,273,290,Yes,FWD,Type 2 CCS,SPV,N,7,Mercedes EQV 300 Long,87.0,205.0,84757.0
85,Fiat ,500e Hatchback,9.0,168,330,Yes,FWD,Type 2 CCS,Hatchback,B,4,Fiat 500e Hatchback,93.0,155.0,41880.0
86,Tesla ,Cybertruck Single Motor,7.0,256,740,Yes,RWD,Type 2 CCS,Pickup,N,6,Tesla Cybertruck Single Motor,112.0,242.0,54000.0
87,Audi ,e-tron Sportback 50 quattro,6.8,219,470,Yes,AWD,Type 2 CCS,SUV,E,5,Audi e-tron Sportback 50 quattro,118.0,183.0,83461.0
88,Skoda ,Enyaq iV vRS,6.2,193,540,Yes,AWD,Type 2 CCS,SUV,C,5,Skoda Enyaq iV vRS,112.0,249.0,57000.0
89,Skoda ,Enyaq iV 60,9.0,181,440,Yes,RWD,Type 2 CCS,SUV,C,5,Skoda Enyaq iV 60,99.0,199.0,45000.0
90,Audi ,e-tron S 55 quattro,4.5,270,510,Yes,AWD,Type 2 CCS,SUV,E,5,Audi e-tron S 55 quattro,130.0,199.0,112560.0
91,Smart ,EQ fortwo cabrio,11.9,176,-,No,RWD,Type 2,Cabrio,A,2,Smart EQ fortwo cabrio,81.0,59.0,29478.0
92,Kia ,e-Soul 64 kWh,7.9,175,320,Yes,FWD,Type 2 CCS,SUV,B,5,Kia e-Soul 64 kWh,104.0,227.0,44204.0
93,Nissan ,Ariya e-4ORCE 87kWh,5.7,207,500,Yes,AWD,Type 2 CCS,Hatchback,C,5,Nissan Ariya e-4ORCE 87kWh,124.0,261.0,69000.0
94,Fiat ,500e Convertible,9.0,168,330,Yes,FWD,Type 2 CCS,Cabrio,B,4,Fiat 500e Convertible,93.0,155.0,45480.0
95,Volkswagen ,ID.3 Pro Performance,7.3,171,470,Yes,RWD,Type 2 CCS,Hatchback,C,5,Volkswagen ID.3 Pro Performance,99.0,211.0,42690.0
96,Kia ,e-Soul 39 kWh,9.9,170,220,Yes,FWD,Type 2 CCS,SUV,B,5,Kia e-Soul 39 kWh,98.0,143.0,39760.0
97,Byton ,M-Byte 72 kWh 2WD,7.5,222,420,Yes,RWD,Type 2 CCS,SUV,E,5,Byton M-Byte 72 kWh 2WD,118.0,202.0,64200.0
98,Nissan ,Ariya 63kWh,7.5,191,440,Yes,FWD,Type 2 CCS,Hatchback,C,5,Nissan Ariya 63kWh,99.0,205.0,54000.0
99,Audi ,e-tron S Sportback 55 quattro,4.5,258,540,Yes,AWD,Type 2 CCS,SUV,E,5,Audi e-tron S Sportback 55 quattro,130.0,208.0,115260.0
100,Nissan ,Ariya e-4ORCE 63kWh,5.9,194,440,Yes,AWD,Type 2 CCS,Hatchback,C,5,Nissan Ariya e-4ORCE 63kWh,124.0,202.0,60000.0
101,Nissan ,Ariya e-4ORCE 87kWh Performance,5.1,232,450,Yes,AWD,Type 2 CCS,Hatchback,C,5,Nissan Ariya e-4ORCE 87kWh Performance,124.0,233.0,78000.0
102,Byton ,M-Byte 95 kWh 2WD,7.5,238,480,Yes,AWD,Type 2 CCS,SUV,E,5,Byton M-Byte 95 kWh 2WD,118.0,249.0,74400.0
